place,frequency,lat,lon
ヘンリー,11,45.458237,6.9149285
ケルン,5,50.938361,6.959974
ロフ,5,49.2479578,6.978865
ボン,1,50.735851,7.10066
ニース,2,43.7009358,7.2683912
エズ,14,43.7288923,7.3620705
アルザス,1,48.24917645,7.4074699518555
ささや,5,12.393592,7.411773
モナコ,2,43.7323492,7.4276832
ベルン,36,46.9482713,7.4514512
マントン,1,43.7753495,7.5029213
リド,12,10.45631305,7.52496870484693
ミュンスター,1,51.9625101,7.6251879
マッターホルン,12,45.9764421,7.6585734
トリノ,1,45.0677551,7.6824892
ツェルマット,3,46.0212076,7.749254
アフラ,40,8.037222,7.876389
ハルト,2,50.6347014,7.9179599
ラッサ,9,45.7684731,8.0130682
アラブ,72,59.7702832,8.2234479
スイス,49,46.7985624,8.2319736
ルツェルン,8,47.0505452,8.3054682
カールスルーエ,1,49.0068705,8.4034195
マンハイム,2,49.4892913,8.4673098
ツーク,5,47.12235705,8.47984326376778
チリン,11,11.6102055,8.51278743017899
カノ,8,11.8948389,8.5364136
チューリッヒ,1,47.3744489,8.5410422
ラノ,3,11.56352025,8.59291588635617
カリブ,1,59.0330056,8.6156694
ギーセン,1,50.5862066,8.6742306
フランクフルト,7,50.1106444,8.6820917
ビンチ,1,10.00922,8.702815
タライ,7,11.4765951,8.71303303484095
ノルウェー,19,61.1529386,8.7876653
パレ,1,45.8108967,9.0077526
コンスタンツ,1,47.659216,9.1750718
ミラノ,26,45.4641943,9.1896346
ユトランド,19,55.93969045,9.3180561684869
カッセル,2,51.3154546,9.4924096
リヒテンシュタイン,1,47.1416307,9.5531527
サハラ,9,22.25,9.8
ゲッティンゲン,2,51.5328328,9.9351811
ウルム,2,48.3974003,9.9934336
ツェレ,1,52.624056,10.081052
チュニス,1,36.8002068,10.1857757
デンマーク,59,55.670249,10.3333283
リンガ,2,10.059799,10.367241
ピサ,2,43.7159395,10.4018624
ドイツ,1017,51.1638175,10.4478313
スース,3,35.8288175,10.6405392
リューベック,1,53.866444,10.684738
ゴータ,1,50.9494849,10.7014435
ゴタ,7,50.9494849,10.7014435
ロッペン,27,47.19281165,10.8180083876753
シア,5,6.7951878,10.8544267
テューリンゲン,1,50.9014721,11.0377839
ニュルンベルク,1,49.453872,11.077298
マンテ,1,6.0533791,11.2072612
トスカナ,2,43.7745409,11.2456083
フィレンツェ,3,43.7698712,11.2555757
ボルツァノ,4,46.4981125,11.3547801
インスブルック,9,47.2654296,11.3927685
バワリア,10,48.9467562,11.4038717
ミュンヘン,23,48.1371079,11.5753822
バイロイト,1,49.9427202,11.5763079
イェーナ,2,50.9281717,11.5879359
イエナ,1,50.9281717,11.5879359
ガボン,2,-0.8999695,11.6899699
ラー,16,44.3640607,12.0590094908639
ミラン,1,45.4927695,12.1098768
ニアリ,25,-2.7416334,12.3332136
ルビコン,2,44.0660923,12.3609442
バチカン,3,41.903411,12.4528527
パンテオン,14,41.89861595,12.4768334144839
ローマ,315,41.8933203,12.4829321
ロオマ,3,41.8933203,12.4829321
ロマ,1,41.8933203,12.4829321
コペンハーゲン,1,55.6867243,12.5700724
イタリア,199,42.6384261,12.674297
フーグリ,2,12.64638,13.022385
ポツダム,1,52.4009309,13.0591397
スピノ,1,41.6102092,13.224731
パレルモ,2,38.1112268,13.3524434
ベルリン,169,52.5170365,13.3888599
ザクセン,1,50.9295798,13.4585052
アペニン,1,42.4544444,13.4666667
マイセン,1,51.1630871,13.4704939
リディア,1,48.2102006,13.4895822
マイリンゲン,4,48.05238925,13.5709516108552
ドレスデン,13,51.0493286,13.7381437
ナロ,3,37.29622,13.7915674
プラ,5,44.8702281,13.8455311
サマリア,1,45.8493169,13.8500853
オーストリア,45,47.59397,14.12456
ジョルダン,2,40.818494,14.2119204
ベスビオ,1,40.8224148,14.4292922
マルタ,6,35.8885993,14.4476911
カエレ,2,14.494048,14.486039
ポンペイ,10,40.7491267,14.5006415
スウェーデン,34,59.6749712,14.5208584
スウエーデン,1,59.6749712,14.5208584
マジョーレ,6,37.03081,14.7037965
フィリ,1,14.54155,14.7147833
ラペ,3,45.1822552,14.8078497
カンパニア,2,40.860672,14.843984
バンガー,8,-8.7288046,15.169027
ヨーロッパ,1069,54.526,15.2551
テルチ,1,49.1842267,15.4534406078894
メッシーナ,1,38.1937571,15.5542082
メッシナ,5,38.1937571,15.5542082
エリゼ,2,12.0983259,15.906701
ペスト,2,48.208716,16.3697876991718
ウィーン,18,48.2083537,16.3725042
ウイーン,3,48.2083537,16.3725042
バリ,15,41.1257843,16.8620293
