作品ID,作品名,first_published,main_published,main_based_on,文字遣い種別,図書カードURL,人物ID,姓,名,姓読み,名読み,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,テキストファイルURL,XHTML/HTMLファイルURL,Filename
59227,氷島の漁夫,1916,1928,1916,旧字旧仮名,https://www.aozora.gr.jp/cards/000220/card59227.html,220,吉江,喬松,よしえ,たかまつ,Yoshie,Takamatsu,著者,1880-09-05,1940-03-26,https://www.aozora.gr.jp/cards/000220/files/59227_ruby_69919.zip,https://www.aozora.gr.jp/cards/000220/files/59227_69972.html,02hyotono_gyofuni_tsuite
49693,将来の日本,1886,1971,1886,新字新仮名,https://www.aozora.gr.jp/cards/000634/card49693.html,634,田口,卯吉,たぐち,うきち,Taguchi,Ukichi,著者,1855-06-13,1905-04-13,https://www.aozora.gr.jp/cards/000634/files/49693_ruby_34383.zip,https://www.aozora.gr.jp/cards/000634/files/49693_34821.html,02jo
53936,抒情小曲集,1918,1995,1918,新字旧仮名,https://www.aozora.gr.jp/cards/000067/card53936.html,67,萩原,朔太郎,はぎわら,さくたろう,Hagiwara,Sakutaro,著者,1886-11-01,1942-05-11,https://www.aozora.gr.jp/cards/000067/files/53936_txt_44984.zip,https://www.aozora.gr.jp/cards/000067/files/53936_50171.html,02jo
52316,大植物図鑑,,1925,,旧字旧仮名,https://www.aozora.gr.jp/cards/001557/card52316.html,1557,丹波,敬三,たんば,けいぞう,Tanba,Keizo,著者,1854,1927,https://www.aozora.gr.jp/cards/001557/files/52316_txt_63518.zip,https://www.aozora.gr.jp/cards/001557/files/52316_63562.html,02jo_dai_shokubutsu_zukan
1788,純情小曲集,"1913, 1913, 1913, 1913, 1913, 1913, 1914, 1913, 1913, 1913, 1913, 1913, 1914, 1914, 1914, 1914, 1914, 1914, 1923, 1921, 1925, 1925, 1925, 1924, 1925",1976,1925,旧字旧仮名,https://www.aozora.gr.jp/cards/000067/card1788.html,67,萩原,朔太郎,はぎわら,さくたろう,Hagiwara,Sakutaro,著者,1886-11-01,1942-05-11,https://www.aozora.gr.jp/cards/000067/files/1788_ruby_18602.zip,https://www.aozora.gr.jp/cards/000067/files/1788_18740.html,02junjo_shokyokushu
48283,南洲手抄言志録,1888,1939,1888,旧字旧仮名,https://www.aozora.gr.jp/cards/001331/card48283.html,1331,秋月,種樹,あきづき,たねたつ,Akizuki,Tanetatsu,著者,1833-11-28,1904-10-17,https://www.aozora.gr.jp/cards/001331/files/48283_txt_32122.zip,https://www.aozora.gr.jp/cards/001331/files/48283_32121.html,02nanshu_genshiroku_jo
731,聖三稜玻璃,,1989,1915,旧字旧仮名,https://www.aozora.gr.jp/cards/000136/card731.html,136,山村,暮鳥,やまむら,ぼちょう,Yamamura,Bocho,著者,1884-01-10,1924-12-08,https://www.aozora.gr.jp/cards/000136/files/731_ruby_3216.zip,https://www.aozora.gr.jp/cards/000136/files/731_50613.html,02seisanryohari
50120,妖怪学講義,1893,1999,1897,新字新仮名,https://www.aozora.gr.jp/cards/001021/card50120.html,1021,井上,円了,いのうえ,えんりょう,Inoue,Enryo,著者,1858-03-18,1919-06-06,https://www.aozora.gr.jp/cards/001021/files/50120_ruby_73415.zip,https://www.aozora.gr.jp/cards/001021/files/50120_73454.html,02shogen
3226,大菩薩峠,1913,1995,1976,新字新仮名,https://www.aozora.gr.jp/cards/000283/card3226.html,283,中里,介山,なかざと,かいざん,Nakazato,Kaizan,著者,1885-04-04,1944-04-28,https://www.aozora.gr.jp/cards/000283/files/3226_ruby_1818.zip,https://www.aozora.gr.jp/cards/000283/files/3226_15094.html,02suzukayama
859,月に吠える,"1917, 1917, 1915, 1915, 1915, 1915, 1915, 1915, 1915, 1915, 1915, 1915, 1914, 1914, 1914, 1914, 1914, 1914, 1915, 1915, 1914, 1914, 1915, 1915, 1915, 1915, 1915, 1916, 1915, 1915, 1916, 1915, 1915, 1915, 1915, 1915, 1915, 1917, 1915, 1917, 1917, 1917, 1917, 1917, 1916, 1916, 1916, 1917, 1916, 1916",1975,,新字旧仮名,https://www.aozora.gr.jp/cards/000067/card859.html,67,萩原,朔太郎,はぎわら,さくたろう,Hagiwara,Sakutaro,著者,1886-11-01,1942-05-11,https://www.aozora.gr.jp/cards/000067/files/859_ruby_21655.zip,https://www.aozora.gr.jp/cards/000067/files/859_21656.html,02tsukini_hoeru
527,十二支考,"1915, 1915",1994,1951,新字新仮名,https://www.aozora.gr.jp/cards/000093/card527.html,93,南方,熊楠,みなかた,くまぐす,Minakata,Kumagusu,著者,1867-05-18,1941-12-29,https://www.aozora.gr.jp/cards/000093/files/527_ruby_2159.zip,https://www.aozora.gr.jp/cards/000093/files/527_28271.html,02usagi
56872,我が一九二二年,"1921, 1922, 1922, 1922, 1923, 1921, 1922, 1922",1969,,新字旧仮名,https://www.aozora.gr.jp/cards/001763/card56872.html,1763,佐藤,春夫,さとう,はるお,Sato,Haruo,著者,1892-04-09,1964-05-06,https://www.aozora.gr.jp/cards/001763/files/56872_ruby_58774.zip,https://www.aozora.gr.jp/cards/001763/files/56872_58817.html,02waga_1922nen
46826,瘠我慢の説,1901,1985,1901,新字新仮名,https://www.aozora.gr.jp/cards/000296/card46826.html,296,福沢,諭吉,ふくざわ,ゆきち,Fukuzawa,Yukichi,著者,1835-01-10,1901-02-03,https://www.aozora.gr.jp/cards/000296/files/46826_ruby_24770.zip,https://www.aozora.gr.jp/cards/000296/files/46826_24771.html,02yasegamanno_setsu
48216,海島冒険奇譚　海底軍艦,1900,1975,1900,旧字旧仮名,https://www.aozora.gr.jp/cards/001327/card48216.html,1327,肝付,兼行,きもつき,かねゆき,Kimotsuki,Kaneyuki,著者,1853-04-23,1922-01-13,https://www.aozora.gr.jp/cards/001327/files/48216_txt_36110.zip,https://www.aozora.gr.jp/cards/001327/files/48216_36111.html,03_jo_kaitei_gunkan
53947,愛の詩集,,1995,1918,新字旧仮名,https://www.aozora.gr.jp/cards/001579/card53947.html,1579,室生,犀星,むろう,さいせい,Murou,Saisei,著者,1889-08-01,1962-03-26,https://www.aozora.gr.jp/cards/001579/files/53947_ruby_53526.zip,https://www.aozora.gr.jp/cards/001579/files/53947_53569.html,03aino_shishu
2579,純情小曲集,,1976,1925,旧字旧仮名,https://www.aozora.gr.jp/cards/000725/card2579.html,725,萩原,恭次郎,はぎわら,きょうじろう,Hagiwara,Kyojiro,著者,1899-05-23,1938-11-22,https://www.aozora.gr.jp/cards/000725/files/2579_txt_66584.zip,https://www.aozora.gr.jp/cards/000725/files/2579_66585.html,03batsu_junjo_shokyokushu
46616,茶話,1917,1983,1917,新字旧仮名,https://www.aozora.gr.jp/cards/000150/card46616.html,150,薄田,泣菫,すすきだ,きゅうきん,Susukida,Kyukin,著者,1877-05-19,1945-10-09,https://www.aozora.gr.jp/cards/000150/files/46616_ruby_53776.zip,https://www.aozora.gr.jp/cards/000150/files/46616_53817.html,03chabanashi1917
51867,泡鳴五部作,1910,1955,,旧字旧仮名,https://www.aozora.gr.jp/cards/000137/card51867.html,137,岩野,泡鳴,いわの,ほうめい,Iwano,Homei,著者,1873-01-20,1920-05-09,https://www.aozora.gr.jp/cards/000137/files/51867_ruby_60096.zip,https://www.aozora.gr.jp/cards/000137/files/51867_60142.html,03homei_gobusaku_horo
